region,in_current_catalogue,recommended_candidate,group,regional_rank,taxon_id,common_name,scientific_name,observation_count,proposed_frequency_rarity,current_editorial_rarity,current_prestige,model_version,review_action
mediterranean_europe,yes,yes,birds,338,7117,Upland Goose,Chloephaga picta,300,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,339,3856,Purple Sandpiper,Calidris maritima,285,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,340,508919,Little Crake,Zapornia parva,275,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,341,201180,Eastern Olivaceous Warbler,Iduna pallida,272,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,342,7101,Barnacle Goose,Branta leucopsis,266,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,343,7024,Common Eider,Somateria mollissima,262,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,344,12913,Fuerteventura Stonechat,Saxicola dacotiae,259,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,345,4494,Black-legged Kittiwake,Rissa tridactyla,245,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,346,3881,Marsh Sandpiper,Tringa stagnatilis,244,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,347,7044,Ring-necked Duck,Aythya collaris,238,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,348,7047,Greater Scaup,Aythya marila,237,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,349,12834,Cyprus Wheatear,Oenanthe cypriaca,237,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,350,4627,Red-throated Loon,Gavia stellata,235,rare,rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,351,13721,Red-throated Pipit,Anthus cervinus,234,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,352,6990,Common Goldeneye,Bucephala clangula,234,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,353,3055,Bolle's Pigeon,Columba bollii,233,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,354,17867,Syrian Woodpecker,Dendrocopos syriacus,232,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,355,116799,Moustached Warbler,Acrocephalus melanopogon,225,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,356,7008,Bar-headed Goose,Anser indicus,225,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,357,201035,Greater Spotted Eagle,Clanga clanga,225,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,358,3054,Trocaz Pigeon,Columba trocaz,215,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,359,12023,Masked Shrike,Lanius nubicus,211,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,birds,360,4514,White-winged Tern,Chlidonias leucopterus,210,very_rare,very_rare,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,1,50972,Ornate Wrasse,Thalassoma pavo,8113,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,2,118663,Salema Porgy,Sarpa salpa,8033,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,3,118667,Common Two-banded Seabream,Diplodus vulgaris,7084,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,4,118669,White Sea Bream,Diplodus sargus,6121,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,5,50968,Mediterranean Rainbow Wrasse,Coris julis,5492,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,6,118674,Painted Comber,Serranus scriba,5376,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,7,118682,Mediterranean Damselfish,Chromis chromis,5179,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,8,118662,Saddled Seabream,Oblada melanurus,4820,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,9,52554,East Atlantic Peacock Wrasse,Symphodus tinca,4332,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,10,112860,European Parrotfish,Sparisoma cretense,4303,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,11,100119,Dusky Grouper,Epinephelus marginatus,4097,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,12,118619,Striped Red Mullet,Mullus surmuletus,3731,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,13,53911,European Carp,Cyprinus carpio,3299,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,14,338049,Ringneck Blenny,Parablennius pilicornis,2885,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,15,118590,Mediterranean Moray,Muraena helena,2739,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,16,342288,Madeira Scorpionfish,Scorpaena maderensis,2639,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,17,118686,Rusty Blenny,Parablennius sanguinolentus,2532,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,18,118660,Striped Seabream,Lithognathus mormyrus,2465,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,19,505877,Incognito Goby,Gobius incognitus,2421,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,20,188591,Red-black Triplefin,Tripterygion tripteronotum,2265,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,21,1494783,Gilthead Seabream,Sparus aurata,2236,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,22,118631,Black Scorpionfish,Scorpaena porcus,2218,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,23,53696,Sharpsnout Seabream,Diplodus puntazzo,2156,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,24,118685,Tompot Blenny,Parablennius gattorugine,2099,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,25,118640,Wide-eyed Flounder,Bothus podas,2080,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,26,624069,Moroccan White Seabream,Diplodus cadenati,2033,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,27,118514,Mediterranean Cardinalfish,Apogon imberbis,2032,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,28,118675,Comber,Serranus cabrilla,2030,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,29,118703,Giant Goby,Gobius cobitis,1953,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,31,97345,Thicklip Grey Mullet,Chelon labrosus,1932,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,fish,32,49614,Pumpkinseed,Lepomis gibbosus,1921,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
